///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=22
DataCount=42
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=15:06:43
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,23.240,0.000,-0.006,-6,997.484,-2.516,-0.54,77.81,
0.100,22.382,25.198,37.506,39578,1016.688,16.688,2.48,1.65,
0.200,22.360,26.721,39.524,41728,1017.846,17.845,2.55,1.61,
0.300,22.309,27.306,40.260,42550,1018.303,18.302,2.66,1.88,
0.400,22.242,27.555,40.533,42899,1018.509,18.508,2.71,1.15,
0.500,22.148,27.813,40.796,43264,1018.731,18.729,2.96,0.90,
0.600,22.130,27.859,40.842,43329,1018.771,18.768,3.02,1.11,
0.700,22.118,27.951,40.952,43457,1018.845,18.841,2.99,0.81,
0.800,22.112,28.008,41.022,43537,1018.889,18.886,3.05,0.77,
0.900,22.109,28.047,41.070,43591,1018.920,18.916,4.23,6.19,
1.000,22.114,28.120,41.172,43694,1018.975,18.970,3.13,0.77,
1.100,22.110,28.119,41.166,43691,1018.975,18.970,3.36,1.15,
1.200,22.113,28.158,41.220,43746,1019.004,18.999,3.18,0.90,
1.300,22.115,28.184,41.256,43783,1019.024,19.019,2.90,0.91,
1.400,22.114,28.196,41.271,43799,1019.034,19.027,3.02,0.88,
1.500,22.115,28.186,41.260,43786,1019.027,19.020,3.18,1.11,
1.600,22.115,28.169,41.237,43762,1019.014,19.007,3.04,0.91,
1.700,22.114,28.167,41.233,43759,1019.013,19.006,3.19,0.88,
1.800,22.113,28.178,41.247,43774,1019.022,19.014,3.07,1.18,
1.900,22.112,28.183,41.253,43782,1019.027,19.018,3.15,0.84,
2.000,22.118,28.198,41.277,43802,1019.037,19.028,3.57,0.82,
2.100,22.117,28.200,41.280,43806,1019.039,19.030,3.23,0.91,
2.200,22.114,28.206,41.285,43814,1019.045,19.036,3.05,1.00,
2.300,22.110,28.209,41.285,43818,1019.049,19.038,3.17,1.60,
2.400,22.110,28.210,41.286,43819,1019.050,19.039,3.35,1.52,
2.500,22.110,28.210,41.286,43819,1019.050,19.039,3.42,0.99,
2.600,22.110,28.211,41.288,43821,1019.052,19.040,3.02,1.06,
2.700,22.112,28.211,41.290,43820,1019.051,19.039,3.12,1.22,
2.800,22.110,28.210,41.287,43820,1019.052,19.040,3.02,1.20,
2.900,22.105,28.211,41.284,43821,1019.054,19.042,3.07,1.06,
3.000,22.101,28.209,41.279,43819,1019.054,19.041,3.03,0.88,
3.100,22.100,28.209,41.277,43819,1019.055,19.042,3.04,0.93,
3.200,22.100,28.212,41.281,43823,1019.058,19.044,3.17,0.97,
3.300,22.101,28.212,41.282,43823,1019.058,19.043,3.50,1.02,
3.400,22.104,28.211,41.284,43822,1019.057,19.042,3.40,0.97,
3.500,22.105,28.212,41.285,43823,1019.058,19.042,3.18,0.90,
3.600,22.106,28.212,41.287,43824,1019.058,19.042,2.93,1.11,
3.700,22.106,28.213,41.288,43825,1019.059,19.043,3.30,1.18,
3.800,22.104,28.213,41.286,43824,1019.060,19.043,3.21,0.95,
3.900,22.103,28.214,41.286,43825,1019.061,19.044,3.24,0.93,
4.000,22.106,28.212,41.287,43824,1019.060,19.042,3.00,1.06,
4.100,22.104,28.214,41.287,43826,1019.062,19.044,3.43,1.08,
