///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=18
DataCount=54
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=14:29:00
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,24.262,0.000,0.000,0,997.234,-2.766,0.18,4.64,
0.100,23.436,5.990,10.264,10595,1001.954,1.954,1.33,3.39,
0.200,23.148,20.347,31.398,32605,1012.824,12.823,2.34,0.99,
0.300,23.084,23.208,35.325,36733,1014.998,14.996,2.66,0.82,
0.400,23.046,24.401,36.932,38434,1015.907,15.906,2.80,0.82,
0.500,23.045,24.739,37.393,38915,1016.164,16.161,2.83,0.77,
0.600,23.006,24.867,37.539,39098,1016.271,16.269,3.12,1.13,
0.700,23.034,24.859,37.549,39085,1016.258,16.255,3.14,0.63,
0.800,23.031,24.863,37.552,39091,1016.262,16.259,3.07,0.79,
0.900,23.032,24.863,37.552,39091,1016.262,16.258,3.03,0.72,
1.000,22.945,24.902,37.539,39147,1016.316,16.311,3.14,0.66,
1.100,22.775,24.972,37.503,39250,1016.415,16.410,3.01,0.68,
1.200,22.622,25.064,37.511,39384,1016.527,16.522,2.80,0.66,
1.300,22.605,25.081,37.520,39408,1016.545,16.539,3.58,0.97,
1.400,22.451,25.189,37.547,39564,1016.669,16.663,3.23,0.79,
1.500,22.426,25.192,37.532,39569,1016.679,16.672,3.15,0.91,
1.600,22.393,25.207,37.526,39590,1016.699,16.692,3.13,0.84,
1.700,22.297,25.263,37.526,39671,1016.767,16.760,2.97,0.84,
1.800,22.277,25.277,37.531,39692,1016.784,16.776,3.05,1.02,
1.900,22.270,25.279,37.529,39696,1016.788,16.779,3.22,1.61,
2.000,22.255,25.299,37.543,39724,1016.807,16.798,3.05,1.06,
2.100,22.220,25.344,37.576,39788,1016.851,16.841,3.80,6.35,
2.200,22.196,25.382,37.608,39842,1016.886,16.876,3.73,1.94,
2.300,22.160,25.479,37.709,39981,1016.970,16.960,3.56,2.64,
2.400,22.151,25.522,37.760,40042,1017.006,16.995,3.58,1.43,
2.500,22.145,25.542,37.782,40071,1017.023,17.012,3.40,2.24,
2.600,22.144,25.557,37.801,40091,1017.034,17.023,3.46,2.46,
2.700,22.143,25.560,37.805,40096,1017.038,17.026,3.14,1.92,
2.800,22.143,25.562,37.808,40099,1017.039,17.027,3.33,1.70,
2.900,22.142,25.561,37.805,40097,1017.039,17.026,3.54,2.24,
3.000,22.142,25.559,37.803,40095,1017.038,17.025,3.29,2.33,
3.100,22.142,25.558,37.801,40093,1017.038,17.024,3.65,2.73,
3.200,22.140,25.558,37.800,40093,1017.039,17.025,3.49,2.56,
3.300,22.141,25.559,37.802,40095,1017.040,17.025,3.41,2.31,
3.400,22.142,25.558,37.802,40094,1017.039,17.024,3.44,4.61,
3.500,22.141,25.557,37.800,40093,1017.040,17.024,3.49,3.17,
3.600,22.141,25.557,37.800,40093,1017.040,17.024,3.49,4.20,
3.700,22.141,25.557,37.800,40093,1017.041,17.024,3.68,2.13,
3.800,22.143,25.558,37.802,40093,1017.041,17.024,3.58,2.89,
3.900,22.142,25.558,37.801,40093,1017.041,17.024,3.45,7.03,
4.000,22.140,25.559,37.802,40095,1017.044,17.026,3.44,3.41,
4.100,22.141,25.558,37.801,40094,1017.043,17.025,3.38,2.67,
4.200,22.140,25.559,37.802,40095,1017.044,17.026,3.56,2.83,
4.300,22.141,25.560,37.804,40097,1017.046,17.027,3.61,2.19,
4.400,22.140,25.560,37.803,40097,1017.046,17.026,3.53,2.74,
4.500,22.141,25.558,37.801,40094,1017.045,17.025,3.47,2.78,
4.600,22.140,25.559,37.802,40095,1017.046,17.026,3.44,1.97,
4.700,22.140,25.557,37.800,40093,1017.045,17.024,3.40,2.26,
4.800,22.141,25.554,37.797,40089,1017.043,17.022,3.48,3.39,
4.900,22.142,25.554,37.797,40088,1017.043,17.021,3.61,3.77,
5.000,22.142,25.556,37.800,40092,1017.045,17.023,3.58,4.30,
5.100,22.142,25.556,37.799,40091,1017.045,17.023,3.48,3.69,
5.200,22.142,25.554,37.797,40088,1017.044,17.021,3.42,5.60,
5.300,22.142,25.552,37.794,40086,1017.044,17.020,3.65,6.73,
