///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=16
DataCount=21
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=14:01:30
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,24.509,0.000,0.000,0,997.173,-2.827,1.24,1.77,
0.100,23.405,4.016,7.069,7302,1000.478,0.477,3.02,6.01,
0.200,22.762,22.048,33.501,35071,1014.209,14.208,3.27,1.15,
0.300,22.695,25.271,37.846,39675,1016.660,16.658,3.25,1.20,
0.400,22.678,25.926,38.716,40601,1017.159,17.158,3.63,1.42,
0.500,22.671,25.996,38.804,40700,1017.215,17.213,3.55,1.00,
0.600,22.675,26.012,38.828,40722,1017.226,17.223,3.31,0.88,
0.700,22.674,26.033,38.856,40752,1017.243,17.239,3.41,1.29,
0.800,22.674,26.031,38.854,40750,1017.242,17.238,3.37,1.02,
0.900,22.664,26.045,38.865,40769,1017.255,17.251,3.44,0.90,
1.000,22.663,26.046,38.865,40771,1017.257,17.252,3.73,0.99,
1.100,22.661,26.050,38.869,40777,1017.261,17.256,3.44,1.09,
1.200,22.661,26.065,38.889,40797,1017.272,17.267,3.27,1.06,
1.300,22.663,26.059,38.883,40789,1017.268,17.262,3.27,0.86,
1.400,22.665,26.062,38.888,40793,1017.270,17.264,3.72,1.18,
1.500,22.662,26.060,38.884,40791,1017.270,17.263,3.29,0.82,
1.600,22.660,26.059,38.880,40789,1017.270,17.263,3.34,0.90,
1.700,22.660,26.062,38.885,40793,1017.273,17.265,3.41,0.65,
1.800,22.662,26.058,38.881,40789,1017.270,17.262,3.56,1.65,
1.900,22.672,26.046,38.874,40772,1017.259,17.250,3.57,1.06,
2.000,22.675,26.043,38.871,40767,1017.256,17.247,3.59,1.43,
