///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=21
DataCount=40
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=15:00:14
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,23.458,0.000,-0.005,-5,997.432,-2.568,0.19,4.27,
0.100,23.180,16.527,26.002,26984,1009.940,9.940,8.34,2.22,
0.200,23.156,24.133,36.648,38051,1015.674,15.673,5.89,1.08,
0.300,23.143,26.040,39.240,40753,1017.117,17.116,4.22,0.77,
0.400,23.050,26.510,39.801,41416,1017.498,17.496,3.31,0.68,
0.500,22.860,26.742,39.959,41746,1017.726,17.724,3.31,0.99,
0.600,22.727,26.878,40.034,41940,1017.866,17.863,3.26,0.73,
0.700,22.652,26.968,40.092,42067,1017.955,17.952,3.24,0.81,
0.800,22.611,27.021,40.130,42143,1018.007,18.003,3.14,0.68,
0.900,22.570,27.038,40.118,42168,1018.032,18.028,3.23,0.77,
1.000,22.513,27.060,40.102,42201,1018.064,18.060,3.23,0.88,
1.100,22.442,27.099,40.095,42257,1018.114,18.109,3.27,1.00,
1.200,22.331,27.196,40.132,42395,1018.217,18.212,3.63,1.02,
1.300,22.314,27.234,40.168,42449,1018.251,18.245,3.31,0.79,
1.400,22.310,27.262,40.202,42488,1018.274,18.268,3.30,0.86,
1.500,22.309,27.275,40.219,42506,1018.284,18.278,3.14,1.08,
1.600,22.310,27.291,40.241,42529,1018.297,18.290,3.27,0.95,
1.700,22.312,27.308,40.265,42553,1018.310,18.302,2.89,0.81,
1.800,22.310,27.312,40.268,42558,1018.313,18.305,2.92,1.00,
1.900,22.273,27.358,40.299,42624,1018.359,18.351,2.90,0.95,
2.000,22.181,27.452,40.347,42757,1018.455,18.446,2.89,1.02,
2.100,22.101,27.539,40.395,42881,1018.543,18.534,3.01,1.08,
2.200,22.097,27.545,40.400,42890,1018.549,18.540,3.03,1.00,
2.300,22.080,27.559,40.404,42910,1018.565,18.554,3.02,1.08,
2.400,22.069,27.571,40.411,42927,1018.577,18.567,3.18,1.29,
2.500,22.061,27.576,40.412,42935,1018.584,18.573,3.12,1.08,
2.600,22.055,27.581,40.412,42941,1018.589,18.578,2.87,1.00,
2.700,22.045,27.589,40.415,42954,1018.599,18.587,2.78,1.00,
2.800,22.046,27.588,40.415,42952,1018.598,18.586,3.11,1.09,
2.900,22.047,27.592,40.421,42957,1018.601,18.589,3.05,1.33,
3.000,22.029,27.602,40.418,42972,1018.614,18.601,3.12,1.04,
3.100,22.035,27.599,40.420,42967,1018.610,18.597,2.94,1.00,
3.200,22.023,27.610,40.425,42984,1018.623,18.609,3.01,1.11,
3.300,22.023,27.613,40.428,42988,1018.626,18.611,3.01,1.29,
3.400,22.018,27.620,40.433,42997,1018.632,18.617,3.11,1.95,
3.500,22.019,27.621,40.435,42999,1018.633,18.618,3.18,0.97,
3.600,22.014,27.623,40.434,43002,1018.637,18.621,3.10,1.09,
3.700,22.014,27.622,40.432,43000,1018.636,18.620,4.43,3.07,
3.800,22.014,27.622,40.433,43000,1018.637,18.620,3.68,1.49,
3.900,22.016,27.622,40.434,43000,1018.637,18.619,3.35,1.52,
