///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=17
DataCount=67
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=14:17:20
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,23.906,0.000,0.000,0,997.322,-2.678,0.93,1.99,
0.100,23.238,6.733,11.394,11810,1002.563,2.563,1.66,3.05,
0.200,23.005,23.621,35.836,37324,1015.330,15.329,2.49,0.68,
0.300,22.983,25.009,37.713,39298,1016.383,16.382,2.80,0.77,
0.400,22.981,25.022,37.729,39317,1016.394,16.392,2.79,0.75,
0.500,22.972,25.029,37.733,39327,1016.402,16.400,2.75,0.86,
0.600,22.963,25.040,37.740,39343,1016.413,16.411,3.01,0.72,
0.700,22.860,25.102,37.745,39433,1016.489,16.486,3.18,0.75,
0.800,22.686,25.270,37.837,39673,1016.663,16.660,3.14,0.79,
0.900,22.574,25.455,38.001,39938,1016.834,16.830,3.23,1.24,
1.000,22.550,25.575,38.143,40108,1016.932,16.927,3.23,0.73,
1.100,22.530,25.584,38.139,40122,1016.945,16.940,3.25,1.20,
1.200,22.516,25.588,38.133,40127,1016.951,16.946,3.36,0.88,
1.300,22.471,25.608,38.125,40157,1016.980,16.974,3.43,0.84,
1.400,22.436,25.615,38.107,40167,1016.995,16.988,3.40,0.82,
1.500,22.399,25.629,38.098,40188,1017.016,17.009,3.05,0.73,
1.600,22.393,25.632,38.096,40192,1017.020,17.013,2.97,0.72,
1.700,22.387,25.637,38.098,40199,1017.026,17.018,2.95,0.88,
1.800,22.387,25.637,38.099,40199,1017.026,17.018,3.02,0.73,
1.900,22.387,25.637,38.099,40200,1017.027,17.019,3.00,0.90,
2.000,22.384,25.642,38.103,40207,1017.032,17.023,3.14,1.02,
2.100,22.308,25.683,38.098,40266,1017.083,17.074,3.88,0.88,
2.200,22.295,25.687,38.093,40272,1017.090,17.081,3.16,0.75,
2.300,22.297,25.688,38.096,40273,1017.091,17.081,3.10,0.84,
2.400,22.295,25.683,38.089,40267,1017.089,17.078,3.23,1.15,
2.500,22.227,25.714,38.077,40312,1017.131,17.120,3.28,1.20,
2.600,22.185,25.727,38.060,40331,1017.152,17.140,3.20,1.27,
2.700,22.184,25.721,38.052,40323,1017.148,17.137,3.23,1.58,
2.800,22.198,25.719,38.061,40320,1017.144,17.131,3.06,1.00,
2.900,22.203,25.718,38.062,40318,1017.142,17.129,3.07,1.06,
3.000,22.190,25.722,38.058,40324,1017.149,17.136,3.15,1.18,
3.100,22.184,25.724,38.056,40327,1017.152,17.138,3.23,1.54,
3.200,22.185,25.722,38.053,40324,1017.151,17.137,3.20,1.56,
3.300,22.186,25.720,38.052,40322,1017.150,17.135,3.27,1.45,
3.400,22.171,25.728,38.051,40333,1017.160,17.145,3.78,2.71,
3.500,22.156,25.729,38.040,40335,1017.165,17.150,3.48,4.88,
3.600,22.148,25.734,38.041,40342,1017.172,17.156,3.30,2.17,
3.700,22.154,25.735,38.047,40343,1017.171,17.155,3.33,1.22,
3.800,22.167,25.730,38.050,40336,1017.164,17.147,3.26,1.25,
3.900,22.166,25.730,38.050,40336,1017.165,17.148,3.27,1.13,
4.000,22.172,25.727,38.051,40332,1017.162,17.144,3.35,1.02,
4.100,22.197,25.715,38.055,40315,1017.147,17.128,3.53,1.67,
4.200,22.197,25.715,38.055,40315,1017.147,17.128,3.54,1.20,
4.300,22.153,25.729,38.039,40336,1017.170,17.151,3.58,1.25,
4.400,22.132,25.735,38.030,40345,1017.181,17.161,3.36,2.10,
4.500,22.130,25.735,38.028,40344,1017.181,17.161,3.31,2.08,
4.600,22.127,25.736,38.028,40346,1017.183,17.163,3.38,2.04,
4.700,22.128,25.735,38.027,40344,1017.183,17.162,3.49,2.99,
4.800,22.127,25.734,38.026,40344,1017.183,17.162,3.45,1.70,
4.900,22.129,25.736,38.029,40346,1017.184,17.163,3.65,1.52,
5.000,22.129,25.736,38.029,40346,1017.185,17.162,3.49,2.92,
5.100,22.128,25.738,38.031,40349,1017.187,17.164,3.36,1.63,
5.200,22.129,25.736,38.029,40346,1017.185,17.162,3.66,3.41,
5.300,22.127,25.736,38.028,40346,1017.186,17.163,3.55,2.69,
5.400,22.127,25.734,38.026,40344,1017.186,17.162,3.44,2.26,
5.500,22.129,25.733,38.026,40342,1017.185,17.161,3.53,2.44,
5.600,22.129,25.734,38.027,40344,1017.186,17.161,3.60,1.56,
5.700,22.128,25.734,38.026,40343,1017.186,17.161,3.52,1.58,
5.800,22.129,25.733,38.026,40342,1017.186,17.160,3.61,1.77,
5.900,22.129,25.733,38.026,40342,1017.187,17.160,3.77,1.88,
6.000,22.129,25.734,38.027,40344,1017.188,17.161,3.64,1.67,
6.100,22.130,25.733,38.027,40342,1017.187,17.160,3.64,3.84,
6.200,22.129,25.734,38.027,40344,1017.188,17.161,3.54,2.73,
6.300,22.129,25.732,38.024,40340,1017.187,17.159,3.61,2.20,
6.400,22.129,25.732,38.025,40341,1017.188,17.160,3.60,5.29,
6.500,22.128,25.732,38.024,40341,1017.188,17.160,3.70,3.42,
6.600,22.128,25.730,38.021,40338,1017.188,17.158,3.76,7.68,
