///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=19
DataCount=44
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=14:50:21
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,24.410,0.000,-0.007,-7,997.197,-2.803,11.68,13.92,
0.100,23.599,4.129,7.282,7492,1000.514,0.514,10.87,5.65,
0.200,22.713,19.975,30.602,32069,1012.660,12.659,6.17,1.45,
0.300,22.590,24.672,36.957,38828,1016.236,16.235,4.31,1.24,
0.400,22.492,25.940,38.587,40624,1017.220,17.219,3.62,0.99,
0.500,22.480,26.157,38.868,40931,1017.388,17.386,3.20,1.06,
0.600,22.457,26.259,38.986,41075,1017.472,17.469,3.31,1.15,
0.700,22.441,26.338,39.079,41186,1017.536,17.533,3.21,0.82,
0.800,22.434,26.365,39.110,41225,1017.560,17.556,3.30,0.88,
0.900,22.351,26.468,39.180,41372,1017.660,17.656,3.27,0.66,
1.000,22.276,26.605,39.301,41566,1017.784,17.780,3.37,0.81,
1.100,22.243,26.657,39.343,41640,1017.833,17.828,3.36,0.90,
1.200,22.243,26.663,39.352,41648,1017.838,17.832,3.34,0.79,
1.300,22.246,26.668,39.361,41655,1017.841,17.835,3.53,0.93,
1.400,22.243,26.679,39.374,41672,1017.851,17.845,3.44,1.88,
1.500,22.224,26.701,39.387,41703,1017.873,17.867,3.36,1.08,
1.600,22.220,26.715,39.403,41723,1017.885,17.878,3.69,1.38,
1.700,22.218,26.718,39.405,41727,1017.889,17.881,3.40,0.82,
1.800,22.219,26.715,39.402,41722,1017.886,17.878,3.49,0.99,
1.900,22.218,26.715,39.401,41722,1017.887,17.879,3.34,0.95,
2.000,22.219,26.712,39.397,41718,1017.885,17.876,3.21,1.06,
2.100,22.219,26.711,39.396,41717,1017.885,17.876,3.16,1.02,
2.200,22.220,26.711,39.397,41717,1017.885,17.875,3.23,1.08,
2.300,22.220,26.710,39.396,41715,1017.885,17.874,3.21,2.13,
2.400,22.217,26.712,39.396,41718,1017.887,17.877,3.35,0.97,
2.500,22.219,26.717,39.404,41725,1017.891,17.880,3.36,1.38,
2.600,22.216,26.715,39.400,41722,1017.890,17.879,3.26,0.95,
2.700,22.216,26.714,39.398,41721,1017.890,17.878,3.18,0.97,
2.800,22.218,26.712,39.397,41719,1017.889,17.877,3.12,0.91,
2.900,22.219,26.710,39.396,41716,1017.888,17.875,3.02,0.97,
3.000,22.219,26.710,39.396,41716,1017.888,17.875,3.18,1.29,
3.100,22.219,26.709,39.394,41714,1017.888,17.874,3.18,0.93,
3.200,22.220,26.711,39.398,41718,1017.890,17.875,3.41,1.09,
3.300,22.219,26.710,39.396,41717,1017.890,17.875,3.63,2.74,
3.400,22.219,26.711,39.397,41718,1017.891,17.876,4.51,14.68,
3.500,22.219,26.710,39.396,41717,1017.891,17.875,4.18,2.65,
3.600,22.219,26.710,39.395,41716,1017.891,17.875,3.79,1.18,
3.700,22.220,26.714,39.402,41721,1017.894,17.877,3.44,0.70,
3.800,22.222,26.713,39.402,41720,1017.893,17.876,3.70,1.13,
3.900,22.223,26.710,39.400,41716,1017.891,17.874,3.69,1.04,
4.000,22.222,26.711,39.401,41718,1017.893,17.875,3.54,1.06,
4.100,22.224,26.710,39.401,41717,1017.892,17.874,3.75,1.00,
4.200,22.223,26.711,39.401,41718,1017.893,17.874,3.47,1.43,
4.300,22.225,26.687,39.371,41685,1017.875,17.856,5.47,149.08,
