///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=23
DataCount=44
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=15:11:14
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,23.516,0.000,-0.005,-5,997.418,-2.582,-0.06,19.67,
0.100,22.911,17.513,27.262,28451,1010.753,10.752,6.09,36.21,
0.200,22.863,24.816,37.359,39027,1016.270,16.269,6.36,10.25,
0.300,22.836,27.619,41.116,42976,1018.395,18.394,3.67,1.20,
0.400,22.830,28.119,41.779,43674,1018.775,18.773,2.65,0.77,
0.500,22.792,28.207,41.864,43798,1018.852,18.850,2.50,0.77,
0.600,22.804,28.216,41.886,43810,1018.856,18.854,2.44,1.51,
0.700,22.785,28.224,41.881,43822,1018.868,18.865,2.43,0.82,
0.800,22.778,28.229,41.881,43829,1018.874,18.870,2.42,0.84,
0.900,22.760,28.237,41.876,43841,1018.886,18.882,2.49,0.95,
1.000,22.757,28.238,41.875,43842,1018.888,18.883,2.54,1.20,
1.100,22.748,28.248,41.882,43857,1018.898,18.893,2.49,0.93,
1.200,22.718,28.314,41.943,43950,1018.957,18.952,2.39,0.81,
1.300,22.707,28.330,41.956,43972,1018.973,18.967,2.64,0.79,
1.400,22.688,28.350,41.966,44000,1018.993,18.987,2.60,0.77,
1.500,22.657,28.368,41.962,44026,1019.016,19.009,2.58,0.91,
1.600,22.636,28.378,41.959,44041,1019.030,19.023,2.67,1.18,
1.700,22.630,28.380,41.957,44044,1019.033,19.026,2.98,0.79,
1.800,22.622,28.382,41.951,44046,1019.037,19.029,2.86,0.84,
1.900,22.618,28.384,41.951,44050,1019.041,19.033,2.83,1.04,
2.000,22.615,28.385,41.949,44051,1019.042,19.034,2.63,0.84,
2.100,22.607,28.389,41.948,44056,1019.048,19.039,2.54,0.81,
2.200,22.605,28.389,41.947,44057,1019.049,19.040,2.58,0.84,
2.300,22.587,28.397,41.941,44068,1019.060,19.050,2.43,0.84,
2.400,22.536,28.417,41.925,44098,1019.091,19.080,2.45,0.86,
2.500,22.498,28.436,41.917,44125,1019.116,19.105,2.42,0.88,
2.600,22.473,28.452,41.916,44147,1019.135,19.123,2.43,0.99,
2.700,22.453,28.462,41.913,44163,1019.149,19.137,2.51,0.93,
2.800,22.444,28.468,41.914,44171,1019.156,19.144,2.56,1.15,
2.900,22.438,28.478,41.920,44185,1019.165,19.153,2.59,1.13,
3.000,22.433,28.487,41.929,44198,1019.174,19.161,2.42,0.63,
3.100,22.432,28.491,41.934,44204,1019.178,19.164,2.89,0.82,
3.200,22.432,28.494,41.937,44208,1019.181,19.167,2.58,0.77,
3.300,22.432,28.497,41.940,44211,1019.183,19.169,2.55,1.36,
3.400,22.432,28.499,41.943,44215,1019.185,19.170,2.97,2.81,
3.500,22.432,28.502,41.948,44219,1019.188,19.173,3.29,2.47,
3.600,22.432,28.507,41.955,44226,1019.192,19.176,3.00,1.09,
3.700,22.431,28.513,41.961,44234,1019.197,19.181,2.68,0.84,
3.800,22.432,28.514,41.964,44236,1019.198,19.182,2.58,0.81,
3.900,22.430,28.520,41.970,44244,1019.204,19.187,2.59,0.88,
4.000,22.429,28.522,41.971,44247,1019.206,19.188,2.63,1.02,
4.100,22.430,28.524,41.975,44250,1019.208,19.190,2.47,0.91,
4.200,22.425,28.527,41.974,44254,1019.212,19.193,2.51,1.18,
4.300,22.411,28.530,41.967,44259,1019.219,19.200,2.42,0.86,
